Date,Mysore,Kodagu,Mandya,Hassan
13-Jun-12,15.66,13.91,1.45,4.85
14-Jun-12,13.58,24.44,6.44,11.36
15-Jun-12,14.48,9.69,0.77,2.32
16-Jun-12,17.38,22.26,3.5,9.01
17-Jun-12,24.63,29.71,3.5,12.36
18-Jun-12,72.54,85.97,11.84,36.03
19-Jun-12,49.61,61.85,7.66,28.21
20-Jun-12,42.4,54.28,6.28,22.33
21-Jun-12,19.34,12.5,1.13,3.43
22-Jun-12,10.67,13.4,1.55,5.49
23-Jun-12,6.69,5.58,0.62,2.05
24-Jun-12,3.51,4.94,0.58,2.09
25-Jun-12,11.03,6.12,0.41,1.09
26-Jun-12,1.61,2.57,0.32,1.14
27-Jun-12,7.38,11.02,1.4,5.03
28-Jun-12,44.18,65.73,7.76,27.99
29-Jun-12,38.44,70.89,8.83,32.27
30-Jun-12,13.1,17.28,2.02,7.2
01-Jul-12,2.4,10.32,0.58,2.47
02-Jul-12,2.85,28,0.1,4.93
03-Jul-12,3.91,23.93,1,13.32
04-Jul-12,0.41,2.95,0.09,2.11
05-Jul-12,0.44,3.7,0.05,1.51
06-Jul-12,0.43,4.47,0,0.41
07-Jul-12,0.73,6.45,0,0.61
08-Jul-12,8.59,10.58,1.83,2.33
09-Jul-12,3.86,6.14,2.12,0.97
10-Jul-12,2.97,19.64,0.6,1.79
11-Jul-12,1.11,6.64,0.21,0.98
12-Jul-12,1.51,15.68,0.01,1.46
13-Jul-12,0.2,1.9,0,0.86
14-Jul-12,0.78,7.85,2.82,0.79
15-Jul-12,5.31,11.92,5.56,1.73
16-Jul-12,2.66,6.23,6.48,1.33
17-Jul-12,8.57,2.19,7.54,1.84
18-Jul-12,2.04,18.37,3.31,4.36
19-Jul-12,1.52,14.09,0.19,2.88
20-Jul-12,0.02,0.37,0,0.59
21-Jul-12,0.9,6.41,0.09,2.52
22-Jul-12,3.31,31.25,0.32,7.25
23-Jul-12,1.94,16.6,0.41,3.46
24-Jul-12,2.62,25.62,0.01,3.04
25-Jul-12,0.42,2.93,0,0.25
26-Jul-12,3.98,36.33,0.11,4.98
27-Jul-12,4.66,43.76,0.28,8.19
28-Jul-12,2.5,22.72,1.57,5.56
29-Jul-12,2.16,17.45,0.3,4.81
30-Jul-12,0.42,3.85,0.04,1.6
31-Jul-12,0.5,3.89,0.04,1.06
01-Aug-12,0.33,3.87,0.05,1.48
02-Aug-12,0.43,2.17,0.36,6.38
03-Aug-12,0.97,3.82,0.32,0.81
04-Aug-12,0.58,3.91,0.62,3.66
05-Aug-12,1.24,2.48,1.04,14.09
06-Aug-12,5.47,51.15,1.26,10.12
07-Aug-12,8.6,73.38,2.27,14.6
08-Aug-12,6.13,36.53,3.09,9.45
09-Aug-12,4.94,38.91,1.9,9.01
10-Aug-12,3.36,33.03,0.59,7.66
11-Aug-12,4.55,37.74,0.32,7.68
12-Aug-12,3.86,32.55,0.67,9.8
13-Aug-12,1.96,12.23,0.51,3.3
14-Aug-12,0.22,2.18,1.89,0.57
15-Aug-12,0.04,1.01,0,0.02
16-Aug-12,1.14,10.09,0.01,1.31
17-Aug-12,1.72,5.35,0.36,1.28
18-Aug-12,2.68,17.19,0.75,7.49
19-Aug-12,1.57,14.69,0.37,2.35
20-Aug-12,0,0.25,0,0.04
21-Aug-12,0,0.63,0,0.01
22-Aug-12,0,0,0.18,0.02
23-Aug-12,0,0,0,0.13
24-Aug-12,10.72,2.79,21.78,5.14
25-Aug-12,12.9,7.73,14.77,8.58
26-Aug-12,5.07,38.27,7.3,20.8
27-Aug-12,1.72,11.47,0.64,12.15
28-Aug-12,3.31,25.09,3.45,6.42
29-Aug-12,5.45,29.46,1.34,6.32
30-Aug-12,4.08,33.96,0.62,4.59
31-Aug-12,7.97,27.42,2.68,3.84
01-Sep-12,5.92,29.92,1.82,10.15
02-Sep-12,1.51,12.74,0.23,3.81
03-Sep-12,2.12,15.52,0.56,8.7
04-Sep-12,5.06,41.57,0.24,5.53
05-Sep-12,2.18,12.6,0.67,4.66
06-Sep-12,0.43,4.66,0.04,1.42
07-Sep-12,1.35,10.57,0.56,3.48
08-Sep-12,2.5,18.97,1.33,4.57
09-Sep-12,10.34,6.07,15.25,2.99
10-Sep-12,4.72,12.45,3.07,1.21
11-Sep-12,0.28,1.84,0,0.21
12-Sep-12,1.94,16.13,0.09,1.98
13-Sep-12,0.58,7.03,0,0.95
14-Sep-12,3.22,19.75,4.42,2.22
15-Sep-12,1.51,10.92,1.18,1.24
16-Sep-12,2.47,14.01,0.61,1.46
17-Sep-12,3.75,16.37,1.22,1.76
18-Sep-12,0.93,7.93,0.25,0.81
19-Sep-12,1.6,15.42,0.01,1.57
20-Sep-12,1.44,0.18,0.3,0
21-Sep-12,0,0,0,0
22-Sep-12,0.01,0.13,0,0
23-Sep-12,0.01,0.13,0,0
24-Sep-12,0,0,0,0
25-Sep-12,0.01,0.13,0,0
26-Sep-12,0,0,0,0
27-Sep-12,1.32,0.14,4.91,0.59
28-Sep-12,18.35,3.18,29.02,6.02
29-Sep-12,1.07,0.33,2.53,2.07
30-Sep-12,0.02,0.31,0.3,0.76
01-Oct-12,14.17,15.19,6.82,3.02
02-Oct-12,0.56,5.84,0,0.52
03-Oct-12,1.05,11.26,0.01,2.5
04-Oct-12,0,0.21,0,0.51
05-Oct-12,0.26,2.45,0,0.24
06-Oct-12,0,0,0,0
07-Oct-12,0.11,0.13,3.34,0.38
08-Oct-12,0.33,0.18,0.31,0.02
09-Oct-12,26.1,24.29,13.99,5.08
10-Oct-12,4.28,2.36,1.23,0.17
11-Oct-12,0,0,0,0
12-Oct-12,0.3,0.07,0.04,0
13-Oct-12,0.22,0.03,0.03,0
14-Oct-12,2.21,0.63,5.63,0.79
15-Oct-12,44.17,10.79,34.71,5.65
16-Oct-12,1.9,5.67,2.61,3.81
